12;Merve Polat;İstanbul;Lego Set;EvDünyası;1;1500.00;1500.00;2024-10-02;Kapıda Ödeme
12;Merve Polat;İstanbul;Suç ve Ceza;KitapSarayı;1;150.00;150.00;2024-10-02;Kapıda Ödeme
11;Hasan Aydın;İzmir;Laptop Dell XPS;TechStore;1;35000.00;35000.00;2024-10-01;Kredi Kartı
10;Elif Kurt;Ankara;Tişört;ModaMağazası;2;240.00;480.00;2024-09-28;Kredi Kartı
10;Elif Kurt;Ankara;Nemlendirici Krem;ModaMağazası;1;320.00;320.00;2024-09-28;Kredi Kartı
9;Ahmet Yılmaz;İstanbul;Kahve Makinesi;EvDünyası;1;2500.00;2500.00;2024-09-25;Kredi Kartı
8;Mustafa Çelik;İstanbul;Kadın Elbise;ModaMağazası;1;650.00;650.00;2024-09-22;Havale
2;Ahmet Yılmaz;İstanbul;Koşu Ayakkabısı;SporDünyası;1;1200.00;1200.00;2024-09-20;Kredi Kartı
7;Zeynep Arslan;Antalya;Kahve Makinesi;EvDünyası;1;2500.00;2500.00;2024-09-18;Kredi Kartı
7;Zeynep Arslan;Antalya;Yoga Matı;SporDünyası;1;250.00;250.00;2024-09-18;Kredi Kartı
6;Ali Öztürk;İstanbul;Samsung Galaxy S24;TechStore;1;40000.00;40000.00;2024-09-15;Kredi Kartı
5;Fatma Şahin;İstanbul;Erkek Kot Pantolon;ModaMağazası;1;450.00;450.00;2024-09-10;Kapıda Ödeme
5;Fatma Şahin;İstanbul;Kadın Elbise;ModaMağazası;1;650.00;650.00;2024-09-10;Kapıda Ödeme
4;Mehmet Demir;İzmir;Harry Potter Seti;KitapSarayı;1;850.00;850.00;2024-09-01;Kredi Kartı
3;Ayşe Kaya;Ankara;Elektrikli Süpürge;EvDünyası;1;3200.00;3200.00;2024-08-18;Havale
1;Ahmet Yılmaz;İstanbul;iPhone 15;TechStore;1;45000.00;45000.00;2024-08-15;Kredi Kartı
1;Ahmet Yılmaz;İstanbul;Bluetooth Kulaklık;TechStore;1;1500.00;1500.00;2024-08-15;Kredi Kartı
